id,title,description,type,body part
249,Side plank pulse,The side plank pulse is a dynamic version of the side plank exercise focusing...,duration,core
250,Crunch - Hands Overhead,Crunch - Hands Overhead exercise.,reps only,core
251,Crunch - Gethin Variation,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six...",reps only,core
252,Hand shift plank,The hand shift plank is a progression of the straight-arm plank exercise wher...,duration,core
253,Cross-body plank march,The cross-body plank march is an exercise targeting the entire core but espec...,duration,core
254,Cross-Body Crunch - Gethin Variation,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the...",reps only,core
255,Cross-Body Crunch,"The elbow-to-knee crunch is a bodyweight exercise targeting the ab muscles, t...",reps only,core
256,Feet-elevated oblique crunch,The feet-elevated oblique crunch is a variation on the crunch exercise that t...,reps only,core
257,Parallel bars leg raise,The parallel bars leg raise is a bodyweight exercise that targets the abs. It...,reps only,core
258,Hanging Leg Raise - Variation Gethin,The hanging leg raise is an exercise targeting the abs and hip flexors. Inste...,reps only,core
259,Copenhagen plank,The Copenhagen plank is an advanced version of the side plank performed with...,duration,core
260,Single-leg curl up,The single-leg curl up is a bodyweight abdominal movement that teaches and re...,reps only,core
261,Decline crunch-,The decline crunch is a popular bodyweight exercise targeting the rectus abdo...,reps only,core
262,Knees tucked crunch,The knees tucked crunch is a core exercise that involves performing a crunch...,reps only,core
263,Side plank,The side plank is a popular isometric abdominal exercise focusing on the obli...,duration,core
264,Plank Walk,Plank Walk exercise.,duration,core
265,Feet-elevated bench side plank,The feet-elevated bench side plank is an advanced version of the side plank p...,duration,core
266,Plank up-down,The plank up-down is a variation of the plank push-up that ends in an elbow p...,duration,core
267,Plank walk-out,The plank walk-out is an advanced plank variation targeting the core and shou...,duration,core
268,Prison Push-Up,Prison Push-Up exercise.,reps only,core
269,Push-Up Roll Out - Gethin Variation,Push-Up Roll Out - Gethin Variation exercise.,reps only,core
270,Reach crunch,The reach crunch is a bodyweight core exercise that involves keeping the arms...,reps only,core
271,Reverse crunch,"The reverse crunch is a popular exercise targeting the abdominals, particular...",reps only,core
272,Flat Bench Lying Leg Raise,The lying leg lift is a popular bodyweight exercise targeting the muscles of...,reps only,core
273,Flat Bench Lying Leg Raise - Gethin Variation,The lying leg lift is a popular bodyweight exercise targeting the muscles of...,reps only,core
274,Plank To Sphinx,Plank To Sphinx exercise.,duration,core
275,Side lunge cross-body heel-touch,The side lunge cross-body heel-touch is a lower-body exercise targeting the q...,reps only,core
276,Elbow-to-knee crunch,"The elbow-to-knee crunch is a bodyweight exercise targeting the ab muscles, t...",reps only,core
277,Elbow plank jack,The elbow plank jack is an isometric abdominal exercise with a dynamic lower-...,duration,core
278,Elbow plank,The elbow plank is a popular isometric abdominal exercise. It is common in al...,duration,core
279,Eiffel Tower leg raise,The Eiffel Tower leg raise is a bodyweight exercise targeting the muscles of...,reps only,core
280,Double crunch,The double crunch is a bodyweight exercise focused on the muscles of the core...,reps only,core
281,Plank Fire Hydrants,Plank Fire Hydrants exercise.,duration,core
282,Cocoon crunch,"The cocoon crunch is a bodyweight exercise targeting the ab muscles, the rect...",reps only,core
283,Pillar-To-Plank,Pillar-To-Plank exercise.,duration,core
284,Gorilla Chin/Crunch,Gorilla Chin/Crunch exercise.,reps only,core
285,Plank - Gethin Variation,The elbow plank is a popular isometric abdominal exercise. It is common in al...,duration,core
286,Cross Crunch,Cross Crunch exercise.,reps only,core
287,Hanging Leg Raises,Hanging Leg Raises exercise.,reps only,core
288,Alternating hanging knee raise,"The alternating hanging knee raise is an exercise targeting the abs, but whic...",reps only,core
289,Total Fitness Side Plank,The side plank is a popular isometric abdominal exercise focusing on the obli...,duration,core
290,McGill Pull-Up,McGill Pull-Up exercise.,reps only,core
291,McGill Modified Curl-Up,McGill Modified Curl-Up exercise.,reps only,core
292,Hanging Oblique Knee Raise,The hanging oblique crunch an abdominal exercise that targets both the rectus...,reps only,core
293,Alternating lying leg raise,The alternating lying leg lift is a popular bodyweight exercise targeting the...,reps only,core
294,Jump Lunge,The alternating lunge jump is an explosive bodyweight exercise that targets t...,reps only,core
295,Alternating High Knee Raise,Alternating High Knee Raise exercise.,reps only,core
296,Tip-toe crunch,The tip-toe crunch is a variation on the crunch exercise that involves placin...,reps only,core
297,Tyler Holt Hip-Dip,Tyler Holt Hip-Dip exercise.,reps only,core
298,Tyler Holt Plank,Tyler Holt Plank exercise.,duration,core
299,Lying oblique crunch,The lying oblique crunch is a bodyweight exercise targeting the oblique muscl...,reps only,core
300,Dumbbell front raise and press,The dumbbell front raise and press combines two upper-body moves into one cha...,dumbbell,shoulders
301,6 Way Shoulder Raise,6 Way Shoulder Raise exercise.,dumbbell,shoulders
302,Incline dumbbell front raise,The incline dumbbell front raise is an upper-body exercise targeting the shou...,dumbbell,shoulders
303,Seated Lateral Raise - Gethin Variation,The seated dumbbell lateral raiseis an iconic exercise for developing the sho...,dumbbell,shoulders
304,Seated Dumbbell Press,The seated dumbbell shoulder pressis an exercise for building muscle and stre...,dumbbell,shoulders
305,RG Seated Dumbbell Shoulder Press,RG Seated Dumbbell Shoulder Press exercise.,dumbbell,shoulders
306,RG Forward-Leaning Dumbbell Upright Row,RG Forward-Leaning Dumbbell Upright Row exercise.,dumbbell,shoulders
307,RG Alternating Seated Dumbbell Lateral Raise,RG Alternating Seated Dumbbell Lateral Raise exercise.,dumbbell,shoulders
308,Paul Carter Barbell Seated Military Press,The seated barbell shoulder pressis a classic exercise for building muscle an...,barbell,shoulders
309,Overhead dumbbell front raise,The overhead dumbbell front raise takes the dumbbell front raise one step fur...,dumbbell,shoulders
310,Overhead bar front raise,The overhead bar front raise is an exercise targeting the muscles of the trap...,barbell,shoulders
311,Machine Shoulder (Military) Press,The machine shoulder press is an upper body exercise targeting the deltoids.,barbell,shoulders
312,King Maker Dumbbell Lateral Raise,The dumbbell lateral raise is an upper body isolation exercise for building s...,dumbbell,shoulders
313,Incline Rear Delt Raises - Gethin Variation,The incline dumbbell reverse fly is an upper-body exercise targeting the post...,dumbbell,shoulders
314,Seated barbell shoulder press,The seated barbell shoulder press is a classic exercise for building muscle a...,barbell,shoulders
315,Incline Dumbbell Y Raise,Incline Dumbbell Y Raise exercise.,dumbbell,shoulders
316,Head-on-bench dumbbell rear delt raise,The head-on-bench dumbbell rear delt raise is an exercise targeting the poste...,dumbbell,shoulders
317,Dumbbell shoulder press with body rotation,The dumbbell shoulder press with body rotation is a twist on the traditional...,dumbbell,shoulders
318,Dumbbell seesaw shoulder press,The dumbbell seesaw shoulder press is an exercise targeting the deltoids and...,dumbbell,shoulders
319,Dumbbell lateral raise,The dumbbell lateral raise is a shoulder exercise that targets the medial or...,dumbbell,shoulders
320,Dumbbell front raise to lateral raise,The dumbbell front raise to lateral raise is a dumbbell complex that combines...,dumbbell,shoulders
321,Dumbbell front raise,The dumbbell front raise is a single-joint exercise targeting the shoulder mu...,dumbbell,shoulders
322,Dumbbell Raise,Dumbbell Raise exercise.,dumbbell,shoulders
323,Dumbbell Lying Rear Lateral Raise,The incline dumbbell reverse fly is an upper-body exercise targeting the post...,dumbbell,shoulders
324,Seated Side Lateral Raise,The seated dumbbell lateral raiseis an iconic exercise for developing the sho...,dumbbell,shoulders
325,Seated dumbbell lateral raise,The seated dumbbell lateral raise is an exercise that targets the shoulder mu...,dumbbell,shoulders
326,Dumbbell Fix Standing Dumbbell Arnold Press,Dumbbell Fix Standing Dumbbell Arnold Press exercise.,dumbbell,shoulders
327,Single-dumbbell front raise,The single-dumbbell front raise is an isolation movement that targets the sho...,dumbbell,shoulders
328,UP Seated Dumbbell Overhead Press,The seated dumbbell shoulder pressis an exercise for building muscle and stre...,dumbbell,shoulders
329,UP Dumbbell Lateral Raise,The dumbbell lateral raise is an upper body isolation exercise for building s...,dumbbell,shoulders
330,TBS Barbell Military Press,The military press is a compound movement used to build size and strength in...,barbell,shoulders
331,Standing palms-in shoulder press,The standing palms-in shoulder press is a dumbbell exercise targeting the sho...,dumbbell,shoulders
332,Standing dumbbell shoulder press,The standing dumbbell shoulder press is a classic deltoid-building exercise t...,dumbbell,shoulders
333,Standing barbell shoulder press,The standing barbell shoulder press is a compound movement used to build size...,barbell,shoulders
334,Standing Dumbbell Scap Raise,Standing Dumbbell Scap Raise exercise.,dumbbell,shoulders
335,Standing Bradford press,The standing Bradford press is an obscure yet effective shoulder exercise tha...,barbell,shoulders
336,Standing Barbell Press Behind Neck,The standing behind-the-head press is a classic shoulder exercise that was us...,barbell,shoulders
337,Smith Incline Shoulder Raise,Smith Incline Shoulder Raise exercise.,barbell,shoulders
338,Single-arm standing shoulder press,The single-arm standing shoulder press is a popular exercise to build size an...,dumbbell,shoulders
339,Seated dumbbell shoulder press,The seated dumbbell shoulder press is a popular exercise for building muscle...,dumbbell,shoulders
340,Single-arm palm-in dumbbell shoulder press,The single-arm palm-in dumbbell shoulder press builds the shoulder muscles bu...,dumbbell,shoulders
341,Single-arm lateral raise,The single-arm lateral raise is a shoulder exercise that targets the medial o...,dumbbell,shoulders
342,Single-arm incline rear delt raise,The single-arm incline rear delt raise is an upper-body exercise targeting th...,dumbbell,shoulders
343,Single-arm incline lateral raise,The single-arm incline lateral raise is an exercise targeting the lateral or...,dumbbell,shoulders
344,Single-arm half-kneeling shoulder press,The single-arm half-kneeling shoulder press is a popular exercise to target t...,dumbbell,shoulders
345,Single-arm dumbbell upright row,The single-arm dumbbell upright row is a popular movement for building strong...,dumbbell,shoulders
346,Single-arm dumbbell arc row,The single-arm dumbbell arc row is an exercise for building the latissimus do...,dumbbell,shoulders
347,Single-arm barbell lateral raise,The single-arm barbell lateral raise is an isolation exercise targeting the s...,barbell,shoulders
348,Side Lateral Raise,The dumbbell lateral raise is an upper body isolation exercise for building s...,dumbbell,shoulders
349,See-Saw Press (Alternating Side Press),See-Saw Press (Alternating Side Press) exercise.,dumbbell,shoulders
350,Dumbbell Incline Shoulder Raise,Dumbbell Incline Shoulder Raise exercise.,dumbbell,shoulders
351,Military press,The military press is a compound movement used to build size and strength in...,barbell,shoulders
352,Dumbbell Fix Dumbbell Military Press,Dumbbell Fix Dumbbell Military Press exercise.,dumbbell,shoulders
353,AM Dumbbell Side Raise,The dumbbell lateral raise is an upper body isolation exercise for building s...,dumbbell,shoulders
354,Bradford/Rocky Presses,Bradford/Rocky Presses exercise.,barbell,shoulders
355,Reverse Band Bench Press,Reverse Band Bench Press exercise.,barbell,arms
356,Bench Press with Chains,Bench Press with Chains exercise.,barbell,arms
357,Bench Press - Powerlifting,Bench Press - Powerlifting exercise.,barbell,arms
358,Reverse-grip bench press,The reverse-grip bench press is a popular barbell exercise targeting the ches...,barbell,arms
359,Straight-arm plank with biceps curl,The straight-arm plank with biceps curl is a hybrid movement that trains the...,dumbbell,arms
360,Dumbbells-together incline bench press,The dumbbells-together incline bench press is an exercise targeting the pecto...,dumbbell,arms
361,Biceps curl to shoulder press,The biceps curl to shoulder press is a dumbbell complex that combines two exe...,dumbbell,arms
362,Dumbbell biceps curl to upright row,The dumbbell biceps curl to upright row is a dumbbell complex that combines t...,dumbbell,arms
363,Lunge hold dumbbell curl,The lunge hold dumbbell curl is a challenging complex that combines an isomet...,duration,arms
364,Dumbbell floor press,The dumbbell floor press is a multijoint pressing exercise performed lying on...,dumbbell,arms
365,Pin Presses,Pin Presses exercise.,barbell,arms
366,Floor Press,Floor Press exercise.,barbell,arms
367,Floor Press with Chains,Floor Press with Chains exercise.,barbell,arms
368,Lying Supine Dumbbell Curl,Lying Supine Dumbbell Curl exercise.,dumbbell,arms
369,Lying High Bench Barbell Curl,Lying High Bench Barbell Curl exercise.,barbell,arms
370,Lying Cable Curl - Gethin Variation,The lying cable biceps curl is an isolation exercise that eliminates the poss...,dumbbell,arms
371,Incline Hammer Curls,Incline Hammer Curls exercise.,dumbbell,arms
372,Standing Dumbbell Reverse Curl,"With the reverse-grip dumbbell curl, the palms face down, not up. This unorth...",dumbbell,arms
373,Standing Inner-Biceps Curl,Standing Inner-Biceps Curl exercise.,dumbbell,arms
374,JM Press With Bands,JM Press With Bands exercise.,barbell,arms
375,JM Press,JM Press exercise.,barbell,arms
376,Standing band biceps curl,The standing band biceps curl is an arm-focused exercise using a band for res...,barbell,arms
377,One Arm Floor Press,One Arm Floor Press exercise.,barbell,arms
378,Hammer Curls,This curl is performed simultaneously with dumbbells but without wrist supina...,dumbbell,arms
379,Incline Dumbbell Curl - Gethin Variation,The incline dumbbell biceps curl is an isolation exercise targeting the bicep...,dumbbell,arms
380,Hammer curl,"The hammer curl is a dumbbell movement that focuses on the biceps, brachialis...",dumbbell,arms
381,Palms-Down Dumbbell Wrist Curl Over A Bench,Palms-Down Dumbbell Wrist Curl Over A Bench exercise.,dumbbell,arms
382,Flexor Incline Dumbbell Curls,Flexor Incline Dumbbell Curls exercise.,dumbbell,arms
383,Face-down incline dumbbell biceps curl,The face-down incline dumbbell biceps curl is an exercise targeting the bicep...,dumbbell,arms
384,EZ-bar spider curl,The EZ-bar spider curl is an exercise targeting the biceps and performed face...,barbell,arms
385,EZ-bar preacher curl,The EZ-bar preacher curl is a classic exercise for building bigger biceps. Th...,barbell,arms
386,EZ-Bar Spider Curl - Gethin Variation,The EZ-bar spider curl is an isolation exercise targeting the biceps and perf...,barbell,arms
387,Standing behind-the-back wrist curl,The standing behind-the-back wrist curl is a popular exercise to target the m...,barbell,arms
388,Standing concentration curl,The standing concentration curl is a variation on the more common seated conc...,dumbbell,arms
389,Dumbbell row to triceps kick-back,The dumbbell row to triceps kick-back is a dumbbell complex that combines two...,dumbbell,arms
390,Dumbbell preacher curl,The dumbbell preacher curl is an exercise that focuses on building the biceps...,dumbbell,arms
391,Dumbbell overhead hold with single-arm curl,The dumbbell overhead hold with single-arm curl combines an isometric overhea...,duration,arms
392,Dumbbell biceps curl,The dumbbell biceps curl is a single-joint exercise for building bigger and s...,dumbbell,arms
393,Side plank with dumbbell external rotation,The side plank with dumbbell external rotation is a movement that combines an...,dumbbell,arms
394,Palms-out incline biceps curl,The palms-out incline biceps curl is an exercise targeting the biceps. It is...,dumbbell,arms
395,Palms-Up Dumbbell Wrist Curl Over A Bench,Palms-Up Dumbbell Wrist Curl Over A Bench exercise.,dumbbell,arms
396,Seated Biceps Hammer Curl,Seated Biceps Hammer Curl exercise.,dumbbell,arms
397,Seated triceps press,The seated triceps press is a popular arm-building exercise that targets the...,dumbbell,arms
398,Seated palms-up wrist curl,The seated palms-up wrist curl is an exercise targeting the forearms. It is u...,barbell,arms
399,Seated palms-down wrist curl,The seated palms-down wrist curl is an exercise targeting the forearms. It is...,dumbbell,arms
400,Seated hammer curl,The seated hammer curl is a popular exercise for building bigger biceps and f...,dumbbell,arms
401,Seated finger curl,The seated finger curl is an exercise targeting the muscles of the hands and...,barbell,arms
402,Seated dumbbell biceps curl,The seated dumbbell biceps curl is a popular exercise for building bigger bic...,dumbbell,arms
403,Seated alternating biceps curl,The seated alternating biceps curl is an exercise that builds bigger and stro...,dumbbell,arms
404,Seated Straigh-Bar Curl Superset,The seated wide-grip curl to close-grip curl is a variation on the classic se...,barbell,arms
405,Seated One-Arm Dumbbell Palms-Up Wrist Curl,Seated One-Arm Dumbbell Palms-Up Wrist Curl exercise.,dumbbell,arms
406,Seated One-Arm Dumbbell Palms-Down Wrist Curl,Seated One-Arm Dumbbell Palms-Down Wrist Curl exercise.,dumbbell,arms
407,Seated Dumbbell Palms-Up Wrist Curl,Seated Dumbbell Palms-Up Wrist Curl exercise.,dumbbell,arms
408,Seated Dumbbell Inner Biceps Curl,Seated Dumbbell Inner Biceps Curl exercise.,dumbbell,arms
409,Seated Dumbbell Curl - Gethin Variation,The seated dumbbell biceps curl is a standard exercise for building bigger bi...,dumbbell,arms
410,Seated Close-Grip Concentration Barbell Curl,Seated Close-Grip Concentration Barbell Curl exercise.,barbell,arms
411,Seated Barbell Curl,Seated Barbell Curl exercise.,barbell,arms
412,Palms-down wrist curl over bench,The palms-down wrist curl over bench is an exercise targeting the forearms. I...,barbell,arms
413,Rolling triceps press,The rolling triceps press is a dynamic triceps exercise that is popular as a...,dumbbell,arms
414,Reverse-grip dumbbell curl,"With the reverse-grip dumbbell curl, the palms face down, not up. This unorth...",dumbbell,arms
415,Bear crawl push-up,The bear crawl push-up is a variation of the bear crawl hold with a push-up a...,reps only,full body
416,Barbell thruster,The barbell thruster is a full-body exercise that incorporates both squatting...,barbell,full body
417,Dumbbell Fix Dumbbell Mountain Climber,Dumbbell Fix Dumbbell Mountain Climber exercise.,dumbbell,full body
418,King Maker Barbell Thruster,The barbell thruster is a full-body exercise that incorporates both squatting...,barbell,full body
419,Dumbbell thruster,"The dumbbell thruster, which begins with a squat and ends with an overhead pr...",dumbbell,full body
420,Dumbbell Fix Full Man Maker,Dumbbell Fix Full Man Maker exercise.,dumbbell,full body
421,Dumbbell Fix Turkish Get-Up,Dumbbell Fix Turkish Get-Up exercise.,dumbbell,full body
422,Half Turkish get-up,The half Turkish get-up is a kettlebell movement that focuses on the first po...,reps only,full body
423,Bear crawl,The bear crawl is a popular bodyweight crawling exercise. While it looks simp...,reps only,full body
424,Twisting Mountain Climbers,Twisting Mountain Climbers exercise.,reps only,full body
425,Traveling bear crawl,The traveling bear crawl is a more advanced version of the bear crawl exercis...,reps only,full body
426,Total Fitness Bear Crawl,The bear crawl is a popular bodyweight crawling exercise. While it looks simp...,reps only,full body
427,Superhero burpee,The superhero burpee is an advanced variation of the burpee exercise. The mai...,reps only,full body
428,Sprinter burpee,The sprinter burpee is an explosive version of the burpee exercise that adds...,reps only,full body
429,Single-leg burpee,The single-leg burpee is an advanced variation of the burpee exercise that in...,reps only,full body
430,King Maker Burpee,The burpee is a high-intensity exercise that recruits the entire body to buil...,reps only,full body
431,Bear crawl donkey kick,The bear crawl donkey kick is a more advanced version of the bear crawl exerc...,reps only,full body
432,Bear crawl up-down,The bear crawl up-down is a variation of the bear crawl that involves lowerin...,reps only,full body
433,Gorilla burpee,The gorilla burpee is a variation of the burpee exercise that consists of a r...,reps only,full body
434,Wide mountain climber,The wide mountain climber is a popular bodyweight exercise targeting the musc...,reps only,full body
435,Bear crawl hold,The bear crawl hold is a static variation of the bear crawl exercise performe...,duration,full body
436,Bear crawl shoulder tap,The bear crawl shoulder tap is a variation of the bear crawl that involves to...,reps only,full body
437,Cross-body mountain climber,The cross-body mountain climber is a popular bodyweight exercise targeting th...,reps only,full body
438,Bench mountain climber,"The bench mountain climber is a bodyweight exercise that works the core, shou...",reps only,full body
439,Burpee to pull-up,The burpee to pull-up is a variation of the bodyweight burpee in which the ju...,reps only,full body
440,Bear crawl fire feet,Bear crawl fire feet is a variation of the bear crawl that involves running i...,cardio,full body
441,Vertical Mountain Climber,Vertical Mountain Climber exercise.,cardio,full body
442,Burpee,The burpee is a high-intensity exercise that recruits the entire body to buil...,cardio,full body
443,Burpee over kettlebell,The burpee over kettlebell is a more advanced version of a popular conditioni...,machine/other,full body
444,Single-arm kettlebell thruster,The single-arm kettlebell thruster is a popular kettlebell movement that comb...,machine/other,full body
445,Kettlebell thruster progression,The kettlebell thruster progression is a kettlebell combination movement that...,machine/other,full body
446,Kettlebell thruster,The kettlebell thruster is a popular kettlebell movement that combines a kett...,machine/other,full body
447,Reverse Burpee,Reverse Burpee exercise.,reps only,full body
448,Mountain climber,The mountain climber is a popular bodyweight exercise targeting the muscles o...,reps only,full body
449,Burpee box jump,The burpee box jump is an explosive bodyweight exercise that combines a burpe...,reps only,full body
450,Burpee tuck jump,The burpee tuck jump is an explosive version of the burpee exercise that adds...,reps only,full body
451,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders a...,reps only,full body
452,Burpee over barbell,"The burpee over barbell is an exercise that takes the burpee, a popular funct...",machine/other,full body
453,Burpee Box-Jumps,Burpee Box-Jumps exercise.,machine/other,full body
454,Bear crawl sled drag,The bear crawl sled drag is an advanced variation of the bear crawl exercise...,machine/other,full body
455,Jerk Dip Squat,Jerk Dip Squat exercise.,barbell,Olympic
456,Dumbbell clean and press,The dumbbell clean and press is a full-body movement that targets both the lo...,dumbbell,Olympic
457,Squat Jerk,Squat Jerk exercise.,barbell,Olympic
458,Front Squat (Clean Grip),Front Squat (Clean Grip) exercise.,barbell,Olympic
459,Snatch-Grip Behind-The-Neck Overhead Press,Snatch-Grip Behind-The-Neck Overhead Press exercise.,barbell,Olympic
460,Dumbbell clean and push-press,The dumbbell clean and push-press is a full-body movement that targets both t...,dumbbell,Olympic
461,Clean and press,The clean and press is a full-body lift comprised of two movements: the clean...,barbell,Olympic
462,Dumbbell Squat Snatch,Dumbbell Squat Snatch exercise.,dumbbell,Olympic
463,Snatch Deadlift,Snatch Deadlift exercise.,barbell,Olympic
464,Kneeling Jump Squat,Kneeling Jump Squat exercise.,barbell,Olympic
465,Push-press,The push-press is an overhead press variation in which the barbell is pushed...,barbell,Olympic
466,Romanian Deadlift from Deficit,Romanian Deadlift from Deficit exercise.,barbell,Olympic
467,Frankenstein Squat,Frankenstein Squat exercise.,barbell,Olympic
468,Olympic Squat,Olympic Squat exercise.,barbell,Olympic
469,Behind-the-head push-press,The behind-the-head push-press is an overhead press variation in which the ba...,barbell,Olympic
470,Clean Deadlift,Clean Deadlift exercise.,barbell,Olympic
471,Snatch Pull,Snatch Pull exercise.,barbell,Olympic
472,Single-Arm Dumbbell Snatch,Single-Arm Dumbbell Snatch exercise.,dumbbell,Olympic
473,Single-arm dumbbell snatch-,The single-arm dumbbell snatch is an explosive exercise that builds full-body...,dumbbell,Olympic
474,Dumbbell Clean And Jerk,Dumbbell Clean And Jerk exercise.,dumbbell,Olympic
475,Isometric Neck Exercise - Front And Back,Isometric Neck Exercise - Front And Back exercise.,duration,other
476,Isometric Neck Exercise - Sides,Isometric Neck Exercise - Sides exercise.,duration,other
477,Neck Bridge Prone,Neck Bridge Prone exercise.,reps only,other
478,Lying Face Down Plate Neck Resistance,Lying Face Down Plate Neck Resistance exercise.,machine/other,other
479,Lying Face Up Plate Neck Resistance,Lying Face Up Plate Neck Resistance exercise.,machine/other,other
480,Seated Head Harness Neck Resistance,Seated Head Harness Neck Resistance exercise.,machine/other,other
481,Neck-SMR,Neck-SMR exercise.,duration,other
482,Side Neck Stretch,Side Neck Stretch exercise.,duration,other
483,Zercher squat,The Zercher squat is a barbell exercise in which the bar is placed in the cre...,barbell,legs
484,Seated leg press-,"The seated leg press is a machine-based exercise that targets the quads, glut...",machine/other,legs
485,Boss Everline Dumbbell Lunge Jump,Boss Everline Dumbbell Lunge Jump exercise.,dumbbell,legs
486,Box Squat with Chains,Box Squat with Chains exercise.,barbell,legs
487,Calf Press On The Leg Press Machine,The leg press calf raise is an exercise that uses the leg press machine to wo...,machine/other,legs
488,Close-stance dumbbell front squat,The close-stance dumbbell front squat is a popular exercise for targeting the...,barbell,legs
489,Dumbbell Alternating Lunge,Dumbbell Alternating Lunge exercise.,dumbbell,legs
490,Seated Calf Raise - Gethin Variation,The machine seated calf raise is an exercise targeting the calf muscles of th...,machine/other,legs
491,Seated Leg Press,"The seated leg press is a lower body exercise that targets the quads, adducto...",machine/other,legs
492,Seesaw lunge,The seesaw lunge is a bodyweight exercise that combines both the forward and...,dumbbell,legs
493,Smith Machine Calf Raise,The Smith machine standing calf raise is a machine-based exercise targeting t...,machine/other,legs
494,Single-Arm Dumbbell Overhead Squat,Single-Arm Dumbbell Overhead Squat exercise.,dumbbell,legs
495,Single-Leg Press,The single-leg leg press is an exercise targeting the quadriceps one leg at a...,machine/other,legs
496,Single-Leg Press - Gethin Variation,The single-leg leg press is an exercise targeting the quadriceps one leg at a...,machine/other,legs
497,Single-arm dumbbell front squat,"The single-arm dumbbell front squat is an exercise that targets the quads, gl...",dumbbell,legs
498,Single-arm side deadlift,The single-arm side deadlift is a compound exercise that strengthens the glut...,barbell,legs
499,Single-arm stiff-legged deadlift,The single-arm stiff-legged deadlift is a dumbbell exercise that targets the...,dumbbell,legs
